MTC_NM,PDLT_NM,VOLUME_KG,rank
충북 제천시,배추,1641775.0,3
충북 증평군,부추,1438900.0,1
충북 증평군,대파,208704.0,2
충북 증평군,양배추,61626.0,3
충북 진천군,오이,20984007.0,1
충북 진천군,수박,7723281.0,2
충북 진천군,호박,3106560.12,3
충북 청원군,호박,12311867.2,1
충북 청원군,오이,8533997.6,2
충북 청원군,배추,5393272.0,3
충북 청주시,대파,11224261.9,1
충북 청주시,호박,6929122.9,2
충북 청주시,배추,5386597.0,3
충북 충주시,사과,20061448.8,1
충북 충주시,복숭아,11582202.3,2
충북 충주시,대파,4011106.7,3
